Trump	2016-08-08 15:20:44	My economic policy speech will be carried live at 12:15 P.M. Enjoy!
Staff	2016-08-08 13:28:20	Join me in Fayetteville, North Carolina tomorrow evening at 6pm. Tickets now available at: https://t.co/Z80d4MYIg8
Staff	2016-08-08 00:05:54	#ICYMI: "Will Media Apologize to Trump?" https://t.co/ia7rKBmioA
Trump	2016-08-07 23:09:08	Michael Morell, the lightweight former Acting Director of C.I.A., and a man who has made serious bad calls, is a total Clinton flunky!
Trump	2016-08-07 21:31:46	The media is going crazy. They totally distort so many things on purpose. Crimea, nuclear, "the baby" and so much more. Very dishonest!
Trump	2016-08-07 13:49:29	I see where Mayor Stephanie Rawlings-Blake of Baltimore is pushing Crooked hard. Look at the job she has done in Baltimore. She is a joke!
Staff	2016-08-07 02:19:37	Thank you Windham, New Hampshire! #TrumpPence16 #MAGA https://t.co/ZL4Q01Q49s
Trump	2016-08-07 01:53:45	I am not just running against Crooked Hillary Clinton, I am running against the very dishonest and totally biased media - but I will win!
Staff	2016-08-06 20:04:08	#CrookedHillary is not fit to be our next president! #TrumpPence16  https://t.co/I0zJO2sZKk
Trump	2016-08-06 18:11:50	Heading to New Hampshire - will be talking about Hillary saying her brain SHORT CIRCUITED, and other things!
Trump	2016-08-06 14:48:14	Anybody whose mind "SHORT CIRCUITS" is not fit to be our president! Look up the word "BRAINWASHED."
Trump	2016-08-06 14:24:43	Crooked Hillary said loudly, and for the world to see, that she "SHORT CIRCUITED" when answering a question on her e-mails. Very dangerous!
Trump	2016-08-06 11:53:00	Hillary Clinton is being badly criticized for her poor performance in answering questions. Let us all see what happens!
Staff	2016-08-06 03:59:08	Good luck #TeamUSA #OpeningCeremony #Rio2016 https://t.co/mS8qsQpJPh
Staff	2016-08-06 02:57:11	'Trump is right about violent crime: It’s on the rise in major cities' https://t.co/XbnZ5vktGk
Staff	2016-08-06 02:44:55	Thank you Green Bay, Wisconsin! Governor @Mike_Pence and I will be back soon. #TrumpPence16 #MAGA https://t.co/qsYbyrm3UR
Staff	2016-08-05 22:42:08	Thank you Des Moines, Iowa! Governor @Mike_Pence and I appreciate your support! #MAGA #TrumpTrain https://t.co/gr6tGqqmcm
Staff	2016-08-05 20:03:29	#MakeAmericaSafeAgain https://t.co/5yuLKyh8Q6
Staff	2016-08-05 13:08:35	Hillary Clinton has bad judgment and is unfit to serve as President. https://t.co/3EzG620fpT
Trump	2016-08-05 10:39:27	The plane I saw on television was the hostage plane in Geneva, Switzerland, not the plane carrying $400 million in cash going to Iran!
Staff	2016-08-05 02:19:22	President Obama refuses to answer question about Iran terror funding.  I won't dodge questions as your President. https://t.co/jsAMGO3s4P
Staff	2016-08-05 02:19:08	Obama's disastrous judgment gave us ISIS, rise of Iran, and the worst economic numbers since the Great Depression!
Staff	2016-08-05 02:18:18	President Obama should ask the DNC about how they rigged the election against Bernie.
